ciclo_lectivo,id_estudiante,id_materia,condicion_academica,nunca_cursada,situacion_actual,motivo_no_cursa,fecha_actualizacion,usuario,resultado_cierre,ciclo_cerrado
2026,3C-00001,RTE-3,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,3C-00001,BLG-3,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,3C-00001,CCD-3,regular,False,recursa,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,3C-00001,EFC-3,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,3C-00001,FQA-3,regular,False,recursa,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,3C-00001,GGF-3,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,3C-00001,HTR-3,regular,False,recursa,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,3C-00001,IGS-3,regular,False,recursa,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,3C-00001,MTM-3,regular,False,recursa,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,3C-00001,PLG-3,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,5D-00002,RTE-5N,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,5D-00002,BLG-5N,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,5D-00002,CDT-5N,regular,False,recursa,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,5D-00002,EFC-5N,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,5D-00002,FIS-5N,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,5D-00002,FDQ-5N,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,5D-00002,GGF-5N,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,5D-00002,HTR-5N,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,5D-00002,IGS-5N,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,5D-00002,LIT-5N,regular,False,recursa,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,5D-00002,MCS-5N,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,5D-00002,PYC-5N,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,3B-00003,RTE-3,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,3B-00003,BLG-3,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,3B-00003,CCD-3,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,3B-00003,EFC-3,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,3B-00003,FQA-3,regular,False,recursa,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,3B-00003,GGF-3,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,3B-00003,HTR-3,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,3B-00003,IGS-3,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,3B-00003,MTM-3,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,3B-00003,PLG-3,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,6B-00004,RTE-6S,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,6B-00004,EFC-6S,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,6B-00004,FIA-6S,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,6B-00004,GGF-6S,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,6B-00004,HTR-6S,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,6B-00004,IGS-6S,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,6B-00004,LIT-6S,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,6B-00004,MCS-6S,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,6B-00004,PIC-6S,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,6B-00004,TYC-6S,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,2A-00005,RTE-2,regular,False,recursa,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,2A-00005,BLG-2,regular,False,recursa,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,2A-00005,CCD-2,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,2A-00005,EFC-2,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,2A-00005,FQA-2,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,2A-00005,GGF-2,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,2A-00005,HTR-2,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,2A-00005,IGS-2,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,2A-00005,MTM-2,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,2A-00005,PLG-2,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,1D-00006,RTE-1,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,1D-00006,CNT-1,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,1D-00006,CSC-1,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,1D-00006,CCD-1,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,1D-00006,EFC-1,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
2026,1D-00006,IGS-1,regular,False,cursa_primera_vez,,2026-02-20 10:49:50+00:00,generador_automatico,,False
